,conditions,genotype,combined
cg1,whole,gain,whole_gain
cg2,whole,gain,whole_gain
cg3,whole,gain,whole_gain
cg4,whole,gain,whole_gain
cg5,whole,gain,whole_gain
cl1,whole,loss,whole_loss
cl2,whole,loss,whole_loss
cl3,whole,loss,whole_loss
cw1,whole,wild,whole_wild
cw2,whole,wild,whole_wild
cw3,whole,wild,whole_wild
sg2,sorted,gain,sorted_gain
sg3,sorted,gain,sorted_gain
sg4,sorted,gain,sorted_gain
sg5,sorted,gain,sorted_gain
sg6,sorted,gain,sorted_gain
sl1,sorted,loss,sorted_loss
sl2,sorted,loss,sorted_loss
sl3,sorted,loss,sorted_loss
sw1,sorted,wild,sorted_wild
sw2,sorted,wild,sorted_wild
sw3,sorted,wild,sorted_wild